Var_lst,IndexNum
"1,1,1 Trichloroethane",chemical
"1,2 Dichlorobenzene",chemical
"1,2 Dichloroethane",chemical
"1,2-Dichloroethane",chemical
"1,2,3 Trichlorobenzene",chemical
"1,2,4 Trichlorobenzene",chemical
"1,3 Dichlorobenzene",chemical
"1,3,5 Trichlorobenzene",chemical
"1,4 Dichorobenzene",chemical
2-Butoxyethanol,chemical
"2,4 DB",chemical
"2,4-Dichlorophenoxyacetic acid",chemical
4-Chlor-2-Nitrotoluene,chemical
4-Nonyl-Phenol,chemical
Absorbance,physical
Acenaphthene,chemical
Acenaphthylene,chemical
Acetophenone,chemical
acid neutralizing capacity,chemical
Acid neutralizing capacity,chemical
"Acidity, CO2 acidity",chemical
"Acidity, hot",chemical
"Acidity, mineral acidity",chemical
"Acidity, total acidity",chemical
Acoustic Doppler Velocity Meter signal to noise ratio,physical
"Acoustic signal strength, units specified in data descriptor",physical
"Air gap, feet",physical
Albedo,physical
"Alkalinity, bicarbonate",chemical
"Alkalinity, carbonate",chemical
"Alkalinity, carbonate plus bicarbonate",chemical
"Alkalinity, total",chemical
"Alkalinity, total ",chemical
"Altitude, feet above mean sea level",physical
Aluminium,chemical
Aluminium ,chemical
Aluminum,chemical
"Aluminum, dissolved",chemical
"Aluminum, total",chemical
"Ammonia (NH3 + NH4+), water, dissolved, pounds per day as nitrogen",chemical
"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen",chemical
"Ammonia (NH3 + NH4+), water, unfiltered, pounds of nitrogen per day",chemical
"Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",chemical
"Ammonia plus organic nitrogen, water, unfiltered, pounds of nitrogen per day",chemical
Anion Sum,chemical
Anthracene,chemical
Antimony,chemical
"Antimony, dissolved",chemical
"Antimony, total",chemical
"Antimony, total ",chemical
Area,physical
Argon,chemical
"Argon, dissolved",chemical
Arsenic,chemical
"Arsenic, dissolved",chemical
"Arsenic, dissolved ",chemical
"Arsenic, total",chemical
Asteridae coverage,physical
"Atmospheric water vapor density, grams per cubic meter",physical
"Atmospheric water vapor pressure, calculated, kilopascals",physical
Atrazine,chemical
"Attenuation corrected backscatter, uncalibrated from LISST-ABS instrument, in counts",physical
Azoxystrobin,chemical
Barium,chemical
"Barium, dissolved",chemical
"Barium, total",chemical
"Barium, total ",chemical
Barometric pressure,physical
Barometric Pressure,physical
"Barometric pressure (BP), uncorrected, pounds per square inch",physical
"Barometric pressure, corrected to sea level, inches of mercury",physical
"Barometric pressure, millimeters of mercury",physical
"Barometric pressure, not corrected to sea level, millibars",physical
"Barometric pressure, uncorrected, inches of mercury",physical
"Barometric pressure, uncorrected, kilopascals",physical
Batis maritima Coverage,chemical
Battery voltage,physical
"Bedload sediment discharge, short tons per day",physical
"Bedload transport rate, derived by regression equation, megagrams per day",physical
Benazolin,chemical
Bentazone,chemical
Benzene,chemical
Benzo-(ghi)-perylene,chemical
Benzo-a-anthracene,chemical
Benzo-a-pyrene,chemical
Benzo-b-fluoranthene,chemical
Benzo-k-fluoranthene,chemical
Benzo(B+K)Fluoranthene,chemical
Benzo(ghi)perylene  and  Indeno(123-cd)pyrene,chemical
"Beryllium, dissolved",chemical
"Beryllium, total",chemical
Bicarbonate,chemical
Bis-(2-ethylhexyl) phthalate,chemical
Bisphenol-A,chemical
Bitertanol,chemical
"Blue-green algae (cyanobacteria), phycocyanin",chemical
BOD (ATU),chemical
"BOD2, carbonaceous",chemical
BOD5,chemical
BOD5 ,chemical
"BOD5, carbonaceous",chemical
BODu,chemical
Boron,chemical
"Boron, dissolved",chemical
"Boron, total",chemical
Borrichia frutescens Coverage,chemical
Boscalid,chemical
"Bromide, dissolved",chemical
"Bromide, total",chemical
Bromine,chemical
"Bromine, dissolved",chemical
Bromoxynil,chemical
Bulk Density,physical
"Bulk electrical conductance, soil, decisiemens per meter",physical
Bulk electrical conductivity,physical
Butane,chemical
Butyl Benzyl Phthalate,chemical
Cadmium,chemical
"Cadmium, dissolved",chemical
"Cadmium, total",chemical
"Cadmium, total ",chemical
Calcium,chemical
Calcium ,chemical
"Calcium, dissolved",chemical
"Calcium, total",chemical
Carbofuran,chemical
Carbon dioxide,chemical
Carbon Dioxide,chemical
Carbon dioxide flux,physical
"Carbon Dioxide, dissolved",chemical
"Carbon dioxide, soil gas, corrected for temperature and pressure, percent of soil gas",physical
"Carbon dioxide, soil gas, uncorrected for temperature and pressure, percent of soil gas",physical
"Carbon dioxide, water, dissolved, at the water surface, parts per million by volume of dissolved gases",chemical
Carbon disulfide,chemical
Carbon tetrachloride,chemical
Carbon Tetrachloride,chemical
Carbon to nitrogen molar ratio,chemical
"Carbon-13, stable isotope ratio delta",chemical
Carbon-14,chemical
"Carbon, dissolved inorganic",chemical
"Carbon, dissolved inorganic ",chemical
"Carbon, dissolved organic",chemical
"Carbon, Dissolved Organic",chemical
"Carbon, dissolved total",chemical
"Carbon, Organic Particulate",chemical
"Carbon, particulate organic",chemical
"Carbon, total",chemical
"Carbon, total organic",chemical
"Carbon, Total Organic",chemical
Carbonate,chemical
Cation Sum,chemical
Cesium-137,chemical
Charge Balance,chemical
Chlorfenvinphos,chemical
Chloride,chemical
"Chloride, dissolved",chemical
"Chloride, total",chemical
"Chloride, water, dissolved, short tons per day",chemical
"Chloride, water, filtered, estimated by regression equation, milligrams per liter",chemical
"Chloride, water, filtered, milligrams per liter",chemical
"Chloride, water, unfiltered, milligrams per liter",chemical
Chlorine,chemical
"Chlorine, dissolved",chemical
Chloroform (Trichloromethane),chemical
Chlorophyll (a+b+c),chemical
Chlorophyll a,chemical
"Chlorophyll a, corrected for pheophytin",chemical
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",chemical
"Chlorophyll a, total, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",chemical
"Chlorophyll a, water, fluorometric method, corrected, micrograms per liter",chemical
"Chlorophyll a, water, in situ, in vivo fluorescence, micrograms per liter",chemical
Chlorophyll b,chemical
Chlorophyll c,chemical
Chlorophyll Fluorescence,chemical
"Chlorophyll fluorescence (fChl), total, water, in situ, fluorometric, 650-700 nm, relative fluorescence units (RFU)",chemical
"Chlorophyll fluorescence (fChl), water, in situ, micrograms per liter as chlorophyll",chemical
"Chlorophyll fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",chemical
"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",physical
"Chlorophyll, total, water, in situ, fluorometric, 650-700 nm, relative fluorescence units (RFU)",chemical
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",chemical
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",chemical
Chlorothalonil,chemical
Chlorpyrifos Ethyl,chemical
Chlortoluron,chemical
Chromium (III),chemical
"Chromium (VI), dissolved",chemical
"Chromium, dissolved",chemical
"Chromium, dissolved ",chemical
"Chromium, total",chemical
Chrysene,chemical
Clopyralid,chemical
Cobalt,chemical
Cobalt-60,chemical
"Cobalt, dissolved",chemical
"Cobalt, total",chemical
COD,chemical
"Coefficient used to adjust discharge, Slope-Q computation",physical
"Coliform, fecal",chemical
"Coliform, total",chemical
"Collector dry exposure (time within recording interval that collector is open but should be closed), seconds",physical
"Collector lid cycles in recording interval, number",physical
"Collector wet exposure (time within recording interval that collector is open when it should be open), seconds",physical
Color,physical
Colored Dissolved Organic Matter,chemical
"Colored dissolved organic matter fluorescence (fDOM), water, in situ, micrograms per liter as quinine sulfate equivalents (QSE)",chemical
"Colored dissolved organic matter fluorescence (fDOM), water, in situ, milligrams per liter of carbon",chemical
"Colored dissolved organic matter fluorescence (fDOM), water, in situ, relative fluorescence units (RFU)",chemical
"Compaction, aquifer system, feet",physical
"Compaction, sediment, feet",physical
Container number,physical
Copper,chemical
"Copper, dissolved",chemical
"Copper, total",chemical
"Copper, total ",chemical
"Count of samples collected by autosampler, number",physical
Counter,physical
Cuscuta spp. coverage,chemical
Cyanazine,chemical
Cyanide,chemical
Cyproconazole,chemical
Cyprodinil,chemical
"Datalogger scan time per recording interval, seconds",physical
"Datum offset, elevation of water leveling point in reference to established datum, feet",physical
"DCP battery voltage, volts",physical
delta-13C of C2H6,chemical
delta-13C of C3H8,chemical
delta-13C of C4H10,chemical
delta-13C of CH4,chemical
delta-13C of CO2,chemical
delta-13C of DIC,chemical
